Name,Total Quantity,Quantity Available,Damaged Qty,Borrowed,Description
PMOS (HEXFEET Power MOSFET P-Channel),100,100,,,No. D7053 - 20/5/69
NMOS (STripFET VI DEEPGATE Power MOSFET),100,100,,,No. D7053 - 20/5/69
Rectifier Diode,100,100,,,No. D7053 - 20/5/69
power sensor (INA219 High Side DC Current Sensor Breakout),50,50,,,No. D7053 - 20/5/69
USB to UART module (CH340G CH340 module of USB to TTL turn USB serial),10,10,,,No. D7053 - 20/5/69
ToF ranging sensor (M2969 VL53L0X I2C (Time of Flight - ToF)),5,5,,,No. D7053 - 20/5/69
AND gate,200,200,,,No. D7053 - 20/5/69
OR gate ,200,200,,,No. D7053 - 20/5/69
NOT gate (Hex Inverters),200,200,,,No. D7053 - 20/5/69
NAND gate,200,200,,,No. D7053 - 20/5/69
NOR gate,100,100,,,No. D7053 - 20/5/69
XOR gate,100,100,,,No. D7053 - 20/5/69
BCD to 7 segment IC ,100,100,,,No. D7053 - 20/5/69
Shift registors IC (8-Bit Shift Register),30,30,,,No. D7053 - 20/5/69
Motion sensor (GY-521 Axis analog gyro sensors),40,40,,,No. D7053 - 20/5/69
Heart rate & Oximeter (GY-MAX30102),15,15,,,No. D7053 - 20/5/69
7 segment 1 Digit Common Cathod 0.56 inch,100,100,,,No. D7053 - 20/5/69
Transistor NPN 45V/0.8A- BC32725TA,200,200,,,No. D7053 - 20/5/69
Transistor NPN 65V/0.1A BC546BTA,200,200,,,No. D7053 - 20/5/69
Plastic Storage Box Size S,60,60,,,No. D7053 - 20/5/69
UGREEN รุ่น 90514 HDMI Splitter 1 In 4 Out HDMI 2.0 Version 4K/60Hz 3D HDCP2.2 1080P,2,2,,,No. D7053 - 20/5/69
Niimbot D101 เครื่องพิมพ์ฉลากความร้อน,1,1,,,No. D7053 - 20/5/69
Nimbot สติกเกอร์,1,1,,,No. D7053 - 20/5/69
Plastic Storage Box Size M,3,3,,,No. D7053 - 20/5/69
Plastic Storage Box Size L,1,1,,,No. D7053 - 20/5/69
Paper(or styrene foam) Cup (Pack 80),2,2,,,No. D7053 - 20/5/69
1N5226B 1/2W 3.3V DIODE,50,50,,,No. D7053 - 20/5/69
1N5231B 5.1 V,50,50,,,No. D7053 - 20/5/69
1N5242B 12 V,50,50,,,No. D7053 - 20/5/69
1N4749A 24 V,50,50,,,No. D7053 - 20/5/69
Resistor 2 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 4.7 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 10 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 20 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 22 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 47 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 56 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 200 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 300 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 470 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 560 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 680 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 820 ohm,100,100,,,No. D7053 - 20/5/69
Resistor 1k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 4.7k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 5.6k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 12k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 27k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 33k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 47k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 56k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 68k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 100k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 120k ohm,100,100,,,No. D7053 - 20/5/69
Resistor 150k,100,100,,,No. D7053 - 20/5/69
Resistor 180k,100,100,,,No. D7053 - 20/5/69
Resistor 200k,100,100,,,No. D7053 - 20/5/69
Resistor 220k,100,100,,,No. D7053 - 20/5/69
Resistor 270k,100,100,,,No. D7053 - 20/5/69
Resistor 330k,100,100,,,No. D7053 - 20/5/69
Resistor 390k,100,100,,,No. D7053 - 20/5/69
Resistor 470k,100,100,,,No. D7053 - 20/5/69
Resistor 560k,100,100,,,No. D7053 - 20/5/69
Resistor 680k,100,100,,,No. D7053 - 20/5/69
Resistor 1m,100,100,,,No. D7053 - 20/5/69
Resistor 2m,100,100,,,No. D7053 - 20/5/69
Sandisk Ultra MicroSD Card SDXC 32GB SDSQUAx-032G-GN6MN เมมโมรีการ์ด,10,10,,,No. D7053 - 20/5/69
HAKKO Presto 984-05 (Soldering Iron),30,30,,,Soldering Bill
HAKKO FH300-81 (Iron Holder),30,30,,,Soldering Bill
Ultracore 60/40 Solder (Solder Wire),30,30,,,Soldering Bill
HDS01 Desoldering Pump (Solder Sucker),30,30,,,Soldering Bill
Soldering Flux / Paste,30,30,,,Soldering Bill
Round Soldering Sponges (5-Pack / 60x60mm),10,10,,,Soldering Bill
Arduino R4 WIFI,50,50,,,Oyama Sensei
Switch BUFFALO BS-GS2008P,11,11,,,
Swtich BUFFALO BSL-PS-G2108M,5,5,,,
PLC control education list,3,3,,,
เหล็ก Flat Bar หนา 16 mm.กว้าง 100 mm (เส้นละ 6 เมตร),8,8,,,Work Shop CE1 2026 - available - (suppose to be 1 pcs)
Aluminnium Ø 13 mm. (เส้นละ 6 เมตร),8,8,,,Work Shop CE1 2026 - available - (suppose to be 1 pcs)
Aluminnium Ø 6 mm.(เส้นละ 6 เมตร),8,8,,,Work Shop CE1 2026 - available - (suppose to be 1 pcs)
Nut M.5 (M5x16) ถุง,4,4,,,Work Shop CE1 2026 - available
ใบเลื่อย 300 x 12.7 mm 24 T 10 ใบ,3,3,,,Work Shop CE1 2026 - available
ดอกสว่าน Ø 4.2 mm,8,8,,,Work Shop CE1 2026 - available
ดอกสว่าน Ø 7 mm,8,8,,,Work Shop CE1 2026 - available
ดอกสว่านØ 8 mm,8,8,,,Work Shop CE1 2026 - available
ดอกสว่านØ 8 mm,8,8,,,Work Shop CE1 2026 - available
ดอกสว่านØ 9 mm,8,8,,,Work Shop CE1 2026 - available
จำปาขันยึดหัวจับสว่าน ขนาด 1/2 นิ้ว,8,8,,,Work Shop CE1 2026 - re-purchase (coming)
จำปาขันยึดหัวจับสว่าน ขนาด 1/4 นิ้ว,8,8,,,"Work Shop CE1 2026 - Workshop Staff specify incorrect size, must re-purchase."
ดอกต๊าปมือ M5x0.8,5,5,,,Work Shop CE1 2026 - available
ดอกต๊าปมือ M10x1.5,5,5,,,Work Shop CE1 2026 - available
ดอก Die M10x 1.5OD 30 mm,5,5,,,Work Shop CE1 2026 - available
ด้ามต๊าปเกลียวใน M 4 - 12 ยาว 280 mm,5,5,,,Work Shop CE1 2026 - available
น้ำมันหล่อลื่นงานตัด,3,3,,,Work Shop CE1 2026 - coming
น้ำมันหล่อเย็น,3,3,,,Work Shop CE1 2026 - available
แปรงทองเหลือง,22,22,,,Work Shop CE1 2026 - available
แปรงขนอ่อน 2 นิ้ว,22,22,,,Work Shop CE1 2026 - available
เหล็กตอกนำเจาะ,10,10,,,Work Shop CE1 2026 - available
กระปุกหยอดน้ำมัน,10,10,,,Work Shop CE1 2026 - available
ผ้าเช็ดมือ,22,22,,,Work Shop CE1 2026 - available
ถุงมือ,22,22,,,Work Shop CE1 2026 - available
ถุงซิบล๊อก 13x 20 cm,2,2,,,Work Shop CE1 2026 - available
